Назва,Стан,Категорія,Місцезнаходження,Переможець,"Номер лота","Стартова ціна","Ціна продажу"
"Екскаватор гусеничний марка JCB, модель JS240LC, реєстраційний номер 01991ТВІ, 1999 року випуску, номер шасі 0708827","Торги не відбулися",Спецтехніка,"Полтавська обл.",,490841,396150.00,
"Земельна ділянка, загальною площею 0,075 га, кадастровий номер: 6510700000:01:001:1282, за адресою: Херсонська обл., м. Нова Каховка, вул. Степова, 58","Торги не відбулися","Земельні ділянки","Херсонська обл.",,490851,30800.00,
"229/3000 частин шестикімнатної квартири, загальною площею 200 кв.м., за адресою: м. Одеса, вул. Коблевська, 41, кв. 20","Торги не відбулися","Житлова нерухомість","Одеська обл.",,490853,128885.50,
"Cадовий будинок, загальною площею 36,90 кв.м, що знаходиться за адресою: м. Одеса, вул. Верхня, буд. 8","Торги не відбулися","Житлова нерухомість",м.Київ,,490863,587137.50,
"Садиба до складу якої входять садовий будинок площею 58,1 кв.м з надвірними будівлями, та земельна ділянка площею 0,0416 га (к.н. 7423388900:01:001:0678) за адресою Чернігівська обл., Ніжинський р., с. Талалаївка, садівниче товариство ""Вишенька"", буд. 53","Торги не відбулися",Інше,"Чернігівська обл.",,490869,53725.00,
"Земельна ділянка, загальною площею 0,0947 га, кадастровий № 2110800000:01:056:0062, що знаходиться за адресою: Закарпатська область, м. Хуст, провулок Валовий 2-ий, земельна ділянка 5","Торги не відбулися","Земельні ділянки","Закарпатська обл.",,490875,172805.00,
"Земельна ділянка площею 0.65 га,кадастровий номер: 1821785201:04:001:0004,що розташована за адресою: Житомирська обл., Ємільчинський р., с. Рясне, вулиця Центральна","Торги не відбулися","Земельні ділянки","Київська обл.",,490879,87087.00,
"Житловий будинок, загальною площею 48,5 кв. м,  та земельна ділянка, загальною площею 0.25 га, кадастровий номер 1821785201:04:001:0005 за адресою: Житомирська область, Ємільчинський район, село Рясне, вулиця Центральна, будинок 4-А ","Торги не відбулися","Житлова нерухомість","Київська обл.",,490881,75882.80,
"Земельна ділянка, загальною площею 0,1520 га, кадастровий номер 2122785600:01:000:0221, що розташована за адресою: Закарпатська область, Мукачівський р-н., с. Нижній Коропець, урочище «Дучковш»","Торги не відбулися","Земельні ділянки","Закарпатська обл.",,490882,171779.05,
"Земельна ділянка загальною площею 0,18 га, кадастровий номер 2125384200:03:001:0117, що знаходиться за адресою: Закарпатська область, Хустський район, с. Залом","Торги не відбулися","Земельні ділянки","Закарпатська обл.",,490884,163625.00,
"Земельна ділянка, загальною площею 0,1 га, кадастровий номер 2122755300:10:103:0376, що розташована за адресою: Закарпатська область, Мукачівський р-н., смт. Кольчино, урочище ""Зелена Ланка""","Торги не відбулися","Земельні ділянки","Закарпатська обл.",,490885,131325.00,
"Товари для технічного обслуговування автомобіля - фільтри повітряні, рідина для очистки двигуна, колісних дисків та моторне мастило, у загальній кількості 74 шт.","Торги не відбулися",Запчастини/аксесуари,"Закарпатська обл.",,490889,48550.70,
